id,name,owner,repository,repository_url,homepage_url,primary_category,project_type,official_status,score,stars,forks,open_issues,primary_language,license,checked_at
antryu2b/_y,_y,antryu2b,antryu2b/_y,https://github.com/antryu2b/_y,,B.9,framework,community,41.8,23,1,0,TypeScript,,2026-07-07T18:45:29.195112+00:00
juliensimon/ocel-generator,ocel-generator,juliensimon,juliensimon/ocel-generator,https://github.com/juliensimon/ocel-generator,,B.9,framework,community,41.8,16,3,0,Python,,2026-07-07T18:45:29.195112+00:00
rkvalandas/browser_agent,browser_agent,rkvalandas,rkvalandas/browser_agent,https://github.com/rkvalandas/browser_agent,,G.44,application,community,41.8,33,7,0,Python,,2026-07-07T18:45:29.195112+00:00
google-gemini/deprecated-generative-ai-android,deprecated-generative-ai-android,google-gemini,google-gemini/deprecated-generative-ai-android,https://github.com/google-gemini/deprecated-generative-ai-android,,E.35,template,community,41.8,860,218,0,Kotlin,,2026-07-07T18:45:29.195112+00:00
ATH-MaaS/Agentic-ADK,Agentic-ADK,ATH-MaaS,ATH-MaaS/Agentic-ADK,https://github.com/ATH-MaaS/Agentic-ADK,,B.6,template,community,41.8,682,128,0,Java,,2026-07-07T18:45:29.195112+00:00
stacklok/codegate,codegate,stacklok,stacklok/codegate,https://github.com/stacklok/codegate,,I.64,gateway,community,41.8,789,92,0,Python,,2026-07-07T18:45:29.195112+00:00
abshkbh/arrakis,arrakis,abshkbh,abshkbh/arrakis,https://github.com/abshkbh/arrakis,,G.45,application,community,41.8,828,83,0,Go,,2026-07-07T18:45:29.195112+00:00
microsoft/TypeAgent,TypeAgent,microsoft,microsoft/TypeAgent,https://github.com/microsoft/TypeAgent,,J.81,template,community,41.8,718,100,0,TypeScript,,2026-07-07T18:45:29.195112+00:00
princechouhan19/OpenCometAI,OpenCometAI,princechouhan19,princechouhan19/OpenCometAI,https://github.com/princechouhan19/OpenCometAI,,G.44,application,community,41.7,30,7,0,JavaScript,,2026-07-07T18:45:29.195112+00:00
ComposioHQ/trustclaw,trustclaw,ComposioHQ,ComposioHQ/trustclaw,https://github.com/ComposioHQ/trustclaw,,E.35,library,community,41.7,850,200,0,TypeScript,,2026-07-07T18:45:29.195112+00:00
langchain-ai/langsmith-mcp-server,langsmith-mcp-server,langchain-ai,langchain-ai/langsmith-mcp-server,https://github.com/langchain-ai/langsmith-mcp-server,,D.20,MCP server,community,41.7,127,39,0,Python,,2026-07-07T18:45:29.195112+00:00
matank001/cursor-security-rules,cursor-security-rules,matank001,matank001/cursor-security-rules,https://github.com/matank001/cursor-security-rules,,C.15,IDE extension,community,41.7,373,35,0,,,2026-07-07T18:45:29.195112+00:00
harnesslabs/arbiter,arbiter,harnesslabs,harnesslabs/arbiter,https://github.com/harnesslabs/arbiter,,B.6,template,community,41.7,745,78,0,Rust,,2026-07-07T18:45:29.195112+00:00
